3705	2009	7	24	0	55	230	425.6	309.35	292.3	30.3	3.4	6.7
3737	2009	12	29	6	25	252.5	426.8	338.85	259.5	30.3	2.3	4.3
3779	2010	10	10	0	50	235	984.6	953.55	245.32	30.3	3	29
3803	2011	3	6	12	37.5	237.5	454.53	51.29	451.62	30.3	8.8	1.4
3833	2011	9	21	6	52.5	232.5	616.67	595.6	159.84	30.3	0.2	16
3847	2011	11	25	6	25	252.5	342.12	214.79	266.28	30.3	6.7	1
3935	2013	4	4	12	37.5	237.5	405.37	311.45	259.47	30.3	7.9	5.8
4105	2015	9	29	12	57.5	225	513.79	394.85	328.74	30.3	7.2	13.8
4168	2016	9	25	6	50	235	468.11	104.12	456.38	30.3	8.2	6.9
4231	2017	10	24	18	52.5	232.5	635.71	300.14	560.39	30.3	12.4	8.7
3336	2003	11	11	0	30	245	405.13	239.71	326.6	30.4	5.6	3.6
3350	2003	12	26	6	30	245	537.2	163.94	511.57	30.4	12.9	2.7
3421	2005	1	19	18	47.5	237.5	697.07	421.74	555.02	30.4	10.8	13.6
3441	2005	6	8	12	37.5	237.5	354.1	-125.89	330.97	30.4	6.6	-4.3
3510	2006	7	20	18	52.5	232.5	362.82	213.24	293.54	30.4	6.5	5.8
3617	2008	1	4	6	27.5	247.5	312.44	135.53	281.51	30.4	8	3.7
3660	2008	9	30	6	57.5	225	600.42	594.82	81.84	30.4	0.5	14.8
3712	2009	9	10	18	57.5	225	863.5	852.94	-134.65	30.4	-8.3	27.5
3743	2010	1	20	6	27.5	247.5	461.28	104.8	449.21	30.4	10.8	0.5
3743	2010	1	21	6	30	245	612.45	354.77	499.23	30.4	12.5	11.3
3891	2012	8	3	0	57.5	225	435.58	198.08	387.94	30.4	7.8	6.5
3916	2012	11	30	18	37.5	237.5	539.33	315.03	437.76	30.4	12.1	7.1
4081	2015	6	7	18	52.5	232.5	553.99	261.57	488.35	30.4	9	5.2
4097	2015	8	31	12	47.5	237.5	333.94	120.26	311.53	30.4	5.3	4.9
4107	2015	10	8	18	52.5	232.5	607.03	592.65	131.35	30.4	2.4	17.8
4219	2017	9	2	12	52.5	232.5	390.08	235.14	311.24	30.4	4.5	4.1
4235	2017	11	17	12	35	240	584.34	53.65	581.88	30.4	14.4	0
4236	2017	11	20	18	40	237.5	673.32	204.85	641.4	30.4	10.2	7.3
3321	2003	9	5	12	52.5	232.5	492.74	435.67	230.18	30.5	3.9	11.5
3375	2004	7	18	18	45	237.5	370.04	366.03	54.35	30.5	1.2	5.4
3379	2004	8	29	18	50	235	477.52	145.58	454.79	30.5	9.2	3.9
3448	2005	7	27	18	52.5	232.5	314.35	66.66	307.2	30.5	6.7	1.9
3506	2006	6	3	6	37.5	237.5	307.12	-163.36	260.08	30.5	7.1	-7
3548	2007	1	12	6	25	252.5	305.53	210.94	221.04	30.5	3.5	2
3571	2007	6	4	6	45	237.5	286.88	270.4	95.82	30.5	3.3	2.6
3652	2008	8	24	0	52.5	232.5	665.11	665.08	6.22	30.5	-2	17.7
3673	2008	11	12	12	47.5	237.5	834.12	114.38	826.24	30.5	19.8	4.2
3682	2009	1	5	6	25	252.5	502.28	421.92	272.52	30.5	3.2	6
3693	2009	3	1	18	37.5	237.5	604.66	538.11	275.78	30.5	7.8	11.4
3767	2010	8	7	6	50	235	268.13	61.79	260.91	30.5	5.9	2.3
3788	2010	12	9	0	37.5	237.5	410.93	151.24	382.09	30.5	6.1	3.6
3788	2010	12	19	0	35	240	536.2	235.48	481.72	30.5	8.1	7.1
3931	2013	3	8	6	27.5	247.5	354.57	236.9	263.81	30.5	7.1	6.2
3945	2013	5	29	12	37.5	237.5	559.73	-233.14	508.86	30.5	12.3	-7
3975	2013	11	15	18	27.5	247.5	324.58	238.57	220.09	30.5	5.6	9.4
4021	2014	8	10	6	57.5	225	393.99	389.78	57.45	30.5	-0.2	14
4101	2015	9	15	0	37.5	237.5	317.44	134.75	287.42	30.5	7	2.1
4107	2015	10	8	0	47.5	237.5	297.78	109.01	277.11	30.5	5.5	4.5
4113	2015	11	2	6	37.5	237.5	377.96	44.49	375.34	30.5	6.4	-2.3
4126	2015	12	22	6	37.5	237.5	587.28	-150.05	567.78	30.5	13.9	-1.7
4192	2017	2	8	0	35	240	454.1	23.57	453.49	30.5	8.8	-0.5
4223	2017	9	6	12	57.5	225	384.84	384.47	16.74	30.5	1.2	3.5
4236	2017	11	21	0	40	237.5	508.57	186.25	473.24	30.5	8.6	4.8
3293	2003	2	7	0	25	252.5	333.31	134.47	304.98	30.6	1.1	1.8
3294	2003	2	14	6	25	252.5	430.31	220.19	369.71	30.6	6.6	1.6
3387	2004	9	21	6	57.5	225	681.23	615.57	291.8	30.6	5.3	17.9
3396	2004	10	21	6	30	245	464.72	341.86	314.8	30.6	8.1	6.1
3412	2004	12	5	6	25	252.5	535.55	231.04	483.15	30.6	6.6	1.6
3421	2005	1	18	18	47.5	237.5	560.25	211.04	518.99	30.6	15.3	8.5
3477	2005	12	14	0	27.5	247.5	358	75.29	350	30.6	7.2	-1.1
3577	2007	7	18	18	45	237.5	355.99	354.55	31.94	30.6	3	5.3
3611	2007	12	7	0	35	240	657.14	124.41	645.25	30.6	10.6	4
3833	2011	9	24	0	50	235	652.3	540.96	364.5	30.6	4.6	8.6
3891	2012	8	3	6	57.5	225	440.88	156.43	412.19	30.6	7.7	5
3960	2013	9	11	0	57.5	225	354.69	321.66	149.47	30.6	0.5	8.5
3994	2014	2	9	12	37.5	237.5	457.76	128.22	439.43	30.6	8.3	6.7
4017	2014	7	12	12	57.5	225	291.35	288.57	40.19	30.6	-0.4	5.8
4059	2015	1	17	6	37.5	237.5	260.64	-116.33	233.24	30.6	3.3	-2.2
4097	2015	8	29	6	42.5	237.5	868.62	832.79	246.88	30.6	4.7	12.9
4168	2016	9	25	12	50	235	508.2	133.95	490.23	30.6	9.4	7.5
4212	2017	6	19	6	52.5	232.5	418.44	350.34	228.81	30.6	4.3	10.3
4217	2017	8	22	0	55	230	456.04	367.5	270.03	30.6	5.6	9.8
4217	2017	8	22	6	55	230	407.98	365.31	181.65	30.6	4.3	8.3
4227	2017	9	27	18	57.5	225	643.86	642.14	-46.94	30.6	-3.7	17.8
4231	2017	10	18	18	47.5	237.5	743.57	469.43	576.66	30.6	11.9	15.8
3315	2003	8	15	12	57.5	225	652.88	636.38	-145.83	30.7	-5	18.3
3440	2005	5	16	12	35	240	426.74	63.83	421.94	30.7	10.7	-1.6
3481	2005	12	28	6	40	237.5	757.43	533.37	537.79	30.7	9.5	16.1
3496	2006	4	4	6	32.5	242.5	410.94	255.17	322.11	30.7	7.3	4.7
3548	2007	1	12	18	25	252.5	313.39	208.92	233.6	30.7	3	2.9
3556	2007	3	11	18	47.5	237.5	717.81	421.51	581.02	30.7	15	15.9
3575	2007	7	13	0	57.5	225	437.03	423.88	106.41	30.7	1.1	9.2
3616	2008	1	5	0	35	240	753.89	468.21	590.88	30.7	14.3	12.6
3617	2008	1	4	12	27.5	247.5	363.57	121.28	342.75	30.7	10.4	2.2
3617	2008	1	4	18	27.5	247.5	361.15	136.41	334.4	30.7	8.5	2.5
3682	2009	1	5	0	25	252.5	485.2	369.61	314.33	30.7	3.7	6
3714	2009	9	21	18	52.5	232.5	467.02	216.88	413.61	30.7	7.8	6.3
3716	2009	10	5	18	57.5	225	553.64	144.66	534.4	30.7	13.5	6.3
3737	2009	12	29	0	25	252.5	481.34	381.35	293.71	30.7	3.7	6.4
3768	2010	8	11	0	57.5	225	392.04	33.61	390.59	30.7	8.1	1.6
3788	2010	12	22	0	30	245	411.8	313.62	266.86	30.7	3.4	5.7
3833	2011	9	23	0	50	235	798.58	648.48	466.05	30.7	5.8	18.5
3837	2011	10	11	12	37.5	237.5	360.52	-158.27	323.92	30.7	7.7	-4.2
3920	2012	12	19	6	27.5	247.5	436.28	129.93	416.48	30.7	9.1	1.4
4106	2015	10	5	12	27.5	247.5	311.17	248.16	187.74	30.7	5.4	8.2
4112	2015	10	21	6	25	252.5	254.26	203.77	152.07	30.7	1.6	0.9
4132	2016	1	19	18	37.5	237.5	527.31	133.56	510.12	30.7	15.5	4.4
4164	2016	9	13	6	57.5	225	591.96	299.12	510.83	30.7	14.1	9.8
4218	2017	8	27	18	52.5	232.5	353.07	125.27	330.1	30.7	6.4	1.2
3293	2003	2	6	6	25	252.5	462.49	179.07	426.42	30.8	3.6	1.1
3370	2004	5	24	18	57.5	225	347.87	261.49	229.42	30.8	2.6	9.7
3396	2004	10	22	0	27.5	247.5	452.43	289.69	347.52	30.8	9.7	4.6
3421	2005	1	18	6	47.5	237.5	664.16	199.5	633.49	30.8	17.5	7.5
3451	2005	8	19	12	55	230	523.14	501.68	148.3	30.8	4.6	12.2
3482	2006	1	2	6	35	240	579.88	405.81	414.22	30.8	5.7	11.8
3549	2007	1	17	0	25	252.5	478.18	247.4	409.21	30.8	2.7	2
3575	2007	7	12	0	57.5	225	426.88	414.15	103.44	30.8	-3.7	8.4
3578	2007	7	22	0	45	237.5	632.27	491.17	398.14	30.8	4.9	11
3720	2009	10	23	18	45	237.5	517.99	60.3	514.47	30.8	12.7	3.5
3827	2011	8	23	0	47.5	237.5	410.96	206.93	355.06	30.8	7.3	5.7
3831	2011	9	6	12	55	230	653.85	595.7	269.56	30.8	4.1	16.5
3943	2013	5	12	0	50	235	571.47	534.47	202.27	30.8	2	11.5
3993	2014	1	28	12	37.5	237.5	335.42	-211.32	260.47	30.8	5.6	-4.7
4086	2015	7	8	0	57.5	225	367.23	102.47	352.64	30.8	8.6	2.1
4113	2015	10	30	18	45	237.5	663.25	-63.05	660.24	30.8	14.9	1.9
